WindSpeed (m/s),MeanPower (kW),MeanPitch (deg),MeanGenSpeed (rpm),MeanGenTorque (kN-m)
3,84.00221777843483,0.05729577295320513,336.17019628595835,2.527744064931778
4,203.92580703974704,0.05729577295320513,441.431104057641,4.673137841951275
5,396.7722708570935,0.05729577295320513,551.1228217541243,7.2826813557852965
6,684.6010259311051,0.05729577295320513,661.0879372420466,10.475548754696629
7,1084.1765431632812,0.05729577295320513,770.5724388118375,14.232662973689155
8,1612.4237227189792,0.05729577295320513,879.576015209534,18.54406960973639
9,2284.0627499470243,0.05729577295320513,987.8308049625156,23.389703021269707
10,3112.510265696434,0.05729634994110443,1095.1558216291462,28.7497529667311
11,3978.737825317847,1.5681096197553765,1173.6467648385067,34.29314374248887
12,4734.515027908579,3.0231757201149576,1173.619642485243,40.808209108287436
13,5000.734716291155,5.418298956300657,1173.8732277924269,43.093520280313335
14,5000.2336658645745,7.70124749871089,1173.7555315624204,43.09352231417608
15,4999.987182867617,9.62072725276219,1173.6977505178966,43.09352273038634
16,4999.722182555574,11.321160542393896,1173.6355041670874,43.09352112259471
17,4999.639377480593,12.874117744466457,1173.6160866879052,43.093522811355726
18,4999.710932569889,14.283365517506914,1173.6328947482027,43.09352134223842
19,4999.759624343919,15.62755356976892,1173.6443107652804,43.09352213392076
20,4999.716437808549,16.937948973055114,1173.6341691942368,43.093522757517476
21,4999.468063434917,18.18975498613733,1173.575803123884,43.093519870442215
22,4999.371481933862,19.40689884205728,1173.5532403628347,43.093519390536805
23,4999.215345844283,20.578446776504734,1173.516650074866,43.09352070123123
24,4999.057301196099,21.7243555421459,1173.479470120487,43.09351995459487
25,4998.937644923132,22.834706587602568,1173.4514592767712,43.09352088265724
